epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8743,1.18317,3.9305,1.34481,0.01538,0.25425,0.01359,0.01099,0.89008,4.58808,1.20893,7.90607e-05,7.90607e-05,7.90607e-05
2,77.7934,1.20212,2.79862,1.3541,0.00719,0.20564,0.0082,0.00546,0.90489,4.80998,1.21528,0.000153167,0.000153167,0.000153167
3,114.342,1.17835,2.44279,1.32768,0.00318,0.2116,0.00442,0.00287,0.90589,4.83391,1.22371,0.000222037,0.000222037,0.000222037
4,150.268,1.17254,2.29057,1.30804,0.00385,0.20451,0.00477,0.00299,0.89479,4.95204,1.19548,0.000214438,0.000214438,0.000214438
